ID,ResponseId,d0_s0,Consent,beh1p,beh2p,beh3p,beh4p,beh5p,beh6p,beh7p,beh8p,beh9p,beh10p,beh11p,beh12p,beh13p,beh14p,beh15p,beh16p,beh17n,beh18n,beh19n,beh20n,beh21n,beh22n,beh23n,beh24n,beh25n,beh26n,beh27n,beh28n,beh29n,beh30n,Attention_check,beh31n,beh32n,beh33neut,beh34neut,beh35neut,beh36neut,beh37neut,beh38neut,beh39neut,beh40neut,DO_1,DO_2,DO_3,DO_4,DO_5,DO_6,DO_7,DO_8,DO_9,DO_10,DO_11,DO_12,DO_13,DO_14,DO_15,DO_16,DO_17,DO_18,DO_19,DO_20,DO_21,DO_22,DO_23,DO_24,DO_25,DO_26,DO_27,DO_28,DO_29,DO_30,DO_31,DO_32,DO_33,DO_34,DO_35,DO_36,DO_37,DO_38,DO_39,DO_40,DO_41,Gender,Age,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,employed,FT_years
1,R_2arGB4fQa2xHAgW,0,1,3,4,2,5,5,4,5,3,3,5,4,2,4,3,3,3,6,5,4,5,3,4,3,3,3,4,3,4,5,4,3,4,5,5,4,4,4,5,5,5,5,4,19,5,2,13,21,23,18,25,28,38,1,40,14,39,7,9,3,8,30,37,10,20,34,22,31,27,41,15,33,12,32,35,29,6,24,16,36,11,26,17,2,25, , , , ,1, , ,1,4
2,R_SZTv6kihC300SNb,0,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,4,4,4,4,4,4,4,34,20,22,10,30,25,37,6,1,35,12,39,29,36,24,15,18,14,5,28,4,9,2,27,13,21,23,19,33,31,7,11,3,38,8,26,32,40,17,41,16,1,42, , , , ,1, , ,1,19
3,R_3R4brCFzKPIm4qy,0,1,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,1,2,1,1,4,2,1,1,1,1,1,1,1,1,2,1,1,4,4,4,4,4,4,4,5,8,9,35,16,34,7,20,25,21,22,5,37,24,23,31,15,32,4,14,38,30,13,18,36,10,33,27,40,29,19,26,11,17,3,12,6,41,2,1,28,39,1,28, , , ,1, , , ,1,8
4,R_2xK4oXklfEDbaJ2,0,1,6,5,5,6,6,6,6,6,6,6,6,7,5,7,6,7,1,3,1,2,3,2,3,3,2,1,2,3,2,2,2,2,2,4,4,4,4,4,4,4,4,5,27,14,2,30,4,28,11,13,26,41,23,9,8,12,3,24,18,32,16,20,39,38,21,10,34,29,35,25,33,15,36,31,19,22,40,37,6,17,7,1,1,23, , , , ,1, , ,1,3
5,R_1INkGyzwHnPCBNm,0,1,7,7,6,7,6,6,6,7,6,7,7,6,6,6,7,7,2,3,2,2,3,3,2,2,2,1,1,3,3,2,2,2,1,4,4,4,6,6,5,4,5,19,17,26,20,5,2,38,33,27,7,6,16,30,9,18,10,35,21,32,31,25,12,34,22,14,1,8,23,13,24,11,3,15,39,40,41,29,37,36,4,28,1, , , , , ,1, , ,1,8
6,R_AO0cxjghBIRlWeJ,0,1,7,6,6,5,6,6,7,6,6,7,6,7,6,7,7,6,1,2,1,1,2,3,3,2,2,2,1,3,1,1,2,2,2,4,4,4,4,4,4,4,4,1,22,33,38,34,21,3,10,25,41,39,5,36,27,6,15,7,20,14,24,12,18,9,16,40,2,8,29,23,26,35,13,4,28,37,32,30,17,19,11,31,1,42, , , , ,1, , ,1,19
7,R_1DuteBxUHktnuUx,0,1,5,5,5,5,3,3,6,4,3,4,5,6,4,3,4,3,3,4,5,3,5,6,6,4,4,4,5,3,5,5,2,4,5,5,5,4,5,4,5,3,3,21,6,1,39,15,38,12,4,22,28,3,20,26,2,11,32,25,10,34,8,37,7,14,18,23,27,13,36,40,30,41,33,19,31,5,24,9,17,16,29,35,1,30, , , , ,1, , ,1,7
8,R_O9abJynjCmJKREZ,0,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2,1,1,4,4,4,4,4,4,4,4,34,21,38,11,14,10,6,39,32,28,40,1,22,19,26,37,36,23,12,2,20,41,3,30,31,27,29,13,8,24,15,35,16,18,25,9,33,17,7,5,4,1,41, , , , ,1, , ,1,19
9,R_BE4CCkM0yJb7F5L,0,1,7,7,5,5,7,6,7,7,7,7,7,7,7,7,7,7,1,1,2,2,2,2,2,2,2,1,1,3,1,2,2,3,2,4,4,4,4,4,4,4,4,1,15,32,21,22,39,17,16,18,3,9,34,36,4,40,41,11,38,25,8,7,30,19,26,5,29,31,24,37,27,10,13,28,33,2,35,6,23,12,20,14,1,42, ,1, , , , , ,2,15
10,R_xsImN4fC1d06Uxj,0,1,4,4,4,4,6,5,4,5,6,4,6,3,5,4,3,5,5,5,6,3,2,3,5,6,4,4,4,3,6,4,2,3,4,2,4,4,3,5,5,5,2,28,19,29,26,5,3,36,13,1,32,22,14,16,35,30,23,37,34,11,12,33,10,40,20,6,41,4,8,24,21,17,31,25,18,38,15,27,9,39,2,7,2,25, , , , ,1, , ,1,2
