ID,t,d0_s1,impr,warm,comp,valence,statval,statnum,statchar,Itemtype,x1,x2,x3,x4,x5,x6,x7,x8,itemnum,Meanval1,Meanval2
1,1,0,2.06,2.53,2.06,pos2,1,2,KS2,1,-1,1,-1,0,0,0,0,0,2,5.89,5.98
1,2,0,2.1,2.84,2.54,pos13,1,13,CONS1,4,-1,1,-1,0,0,0,0,0,1,5.9,5.94
1,3,0,-1.74,-1.38,-2.67,neg8,-1,8,INCPS4,6,-1,-1,0,0,0,1,1,1,4,2.67,2.48
1,4,0,-1.03,-0.36,-1.91,neut3,0,3,NS3,9,8,0,0,0,0,0,0,0,3,4.17,4.11
1,5,0,0.01,-0.02,0.02,neut7,0,7,NS7,9,8,0,0,0,0,0,0,0,7,4.16,4.12
1,6,0,1.05,1.09,1.06,neut4,0,4,NS4,9,8,0,0,0,0,0,0,0,4,4.36,4.36
1,7,0,-1.92,-2.99,-0.53,neg13,-1,13,INCSS1,8,-1,-1,0,0,0,-1,0,0,1,2.05,1.84
1,8,0,0.07,-0.01,-7,neut5,0,5,NS5,9,8,0,0,0,0,0,0,0,5,4.3,4.25
1,9,0,0.47,-0.01,-0.07,neut8,0,8,NS8,9,8,0,0,0,0,0,0,0,8,4.39,4.33
1,10,0,1.4,1.07,1.82,pos6,1,6,COMS2,2,-1,1,1,1,1,0,0,0,2,6.1,6.17
1,11,0,1.77,2.05,2.06,pos14,1,14,CONS2,4,-1,1,-1,0,0,0,0,0,2,6.05,6.16
1,12,0,-1.55,-1.05,-2.99,neg6,-1,6,INCPS2,6,-1,-1,0,0,0,1,1,1,2,2.82,2.64
1,13,0,2.47,2.91,2.1,pos1,1,1,KS1,1,-1,1,-1,0,0,0,0,0,1,5.91,6.01
1,14,0,-0.59,-0.95,-1.24,neg5,-1,5,INCPS1,6,-1,-1,0,0,0,1,1,1,1,2.52,2.36
1,15,0,2.42,2.81,2.37,pos3,1,3,KS3,1,-1,1,-1,0,0,0,0,0,3,5.71,5.83
1,16,0,0.7,-0.67,-1.45,neg10,-1,10,LIS2,7,-1,-1,0,0,0,1,-1,-1,2,2.36,2.21
1,17,0,2.68,2.93,2.91,pos8,1,8,COMS4,2,-1,1,1,1,1,0,0,0,4,5.89,5.98
1,18,0,-2.04,-2.64,-1.94,neg12,-1,12,LIS4,7,-1,-1,0,0,0,1,-1,-1,4,2.79,2.62
1,19,0,2.17,2.97,1.47,pos4,1,4,KS4,1,-1,1,-1,0,0,0,0,0,4,5.78,5.81
1,20,0,-2.4,-2.23,-2.99,neg9,-1,9,LIS1,7,-1,-1,0,0,0,1,-1,-1,1,2.3,2.11
1,21,0,-2.98,-2.9,-2.99,neg1,-1,1,RS1,5,-1,-1,0,0,0,-1,0,0,1,1.86,1.63
1,22,0,-0.03,0.03,0.02,neut2,0,2,NS2,9,8,0,0,0,0,0,0,0,2,4.29,4.21
1,23,0,-1.82,-2.94,-2.14,neg4,-1,4,RS4,5,-1,-1,0,0,0,-1,0,0,4,2.4,2.2
1,24,0,2.41,-2.94,-2.14,pos5,1,5,COMS1,2,-1,1,1,1,1,0,0,0,1,6.11,6.17
1,25,0,-2.02,-2.5,-2.54,neg16,-1,16,INCSS4,8,-1,-1,0,0,0,-1,0,0,4,2.33,2.1
1,26,0,2.17,2.88,2.7,pos12,1,12,ITS4,3,-1,1,1,-1,-1,0,0,0,4,6.18,6.3
1,27,0,-1.72,-2.33,-1.67,neg2,-1,2,RS2,5,-1,-1,0,0,0,-1,0,0,2,2.48,2.35
1,28,0,-2.24,-2.33,-2.99,neg7,-1,7,INCPS3,6,-1,-1,0,0,0,1,1,1,3,2.56,2.38
