ID,t,d0_s1,impr,warm,comp,valence,statval,statnum,statchar,itemtype,,x2,x3,x4,x5,x6,x7,x8,itemnum,Meanval1,Meanval2,EB,EF,Age,Gender,HLE,Ethnicity,DO,DEP,LO,EMP_Y,EMP_M,CP_Y,CP_M,HOW,Attention_check_1,Attention_check2
1,1,0,2.1,-1.01,1,neut8,0,8,NS8,9,8,0,0,0,0,0,0,0,8,4.39,4.33,2.15,3.53,29,0,4,1,1,3,2,10,2,10,2,40,4,4
1,2,0,-1.01,1.06,1,neut7,0,7,NS7,9,8,0,0,0,0,0,0,0,7,4.16,4.12,2.15,3.53,29,0,4,1,1,3,2,10,2,10,2,40,4,4
1,3,0,0.02,1.32,0.61,neut6,0,6,NS6,9,8,0,0,0,0,0,0,0,6,4.31,4.3,2.15,3.53,29,0,4,1,1,3,2,10,2,10,2,40,4,4
1,4,0,3,3,3,pos15,1,15,CONS3,4,-1,1,-1,0,-1,0,0,0,3,6.27,6.36,2.15,3.53,29,0,4,1,1,3,2,10,2,10,2,40,4,4
1,5,0,3,3,3,pos14,1,14,CONS2,4,-1,1,-1,0,-1,0,0,0,2,6.05,6.16,2.15,3.53,29,0,4,1,1,3,2,10,2,10,2,40,4,4
1,6,0,-3,-3,-3,neg15,-1,15,INCSS3,8,-1,-1,0,0,0,-1,0,-1,3,2.49,2.31,2.15,3.53,29,0,4,1,1,3,2,10,2,10,2,40,4,4
1,7,0,-3,-3,-3,neg13,-1,13,INCSS1,8,-1,-1,0,0,0,-1,0,-1,1,2.05,1.84,2.15,3.53,29,0,4,1,1,3,2,10,2,10,2,40,4,4
1,8,0,2.46,3,1.01,pos1,1,1,KS1,1,-1,1,-1,0,1,0,0,0,1,5.91,6.01,2.15,3.53,29,0,4,1,1,3,2,10,2,10,2,40,4,4
1,9,0,3,3,3,pos10,1,10,ITS2,3,-1,1,1,-1,0,0,0,0,2,6.24,6.31,2.15,3.53,29,0,4,1,1,3,2,10,2,10,2,40,4,4
1,10,0,3,3,3,pos6,1,6,COMS2,2,-1,1,1,1,0,0,0,0,2,6.1,6.17,2.15,3.53,29,0,4,1,1,3,2,10,2,10,2,40,4,4
1,11,0,3,3,3,pos2,1,2,KS2,1,-1,1,-1,0,1,0,0,0,2,5.89,5.98,2.15,3.53,29,0,4,1,1,3,2,10,2,10,2,40,4,4
