ID,d0_s1,Pair,Length,Total_IMPR,Total_BEH,BEH1,BEH2,BEH3,BEH4,BEH5,BEH6,BEH7,BEH8,BEH9,BEH10,BEH11,BEH12,BEH13,BEH14,BEH15,BEH16,IMPR1,IMPR2,IMPR3,IMPR4,IMPR5,IMPR6,IMPR7,IMPR8,IMPR9,IMPR10,IMPR11,IMPR12,IMPR13,IMPR14,IMPR15,IMPR16
1,0,1,10,-3.00|-3.00|-3.00|-2.00|-1.45|-1.88|2.08|-2.37|3.00|2.26|,negnegnegnegnegnegposnegpospos,neg,neg,neg,neg,neg,neg,pos,neg,pos,pos,NA,NA,NA,NA,NA,NA,-3.00,-3.00,-3.00,-2.00,-1.45,-1.88,2.08,-2.37,3.00,2.26,NA,NA,NA,NA,NA,NA
115,1,1,10,-2.06|-2.06|-2.96|-2.96|-2.96|-3.00|-1.77|-2.26|-1.85|-1.37|,negnegnegnegnegnegposnegpospos,neg,neg,neg,neg,neg,neg,pos,neg,pos,pos,NA,NA,NA,NA,NA,NA,-2.06,-2.06,-2.96,-2.96,-2.96,-3.00,-1.77,-2.26,-1.85,-1.37,NA,NA,NA,NA,NA,NA
19,0,2,10,1.08|-.90|-.90|-1.79|-1.79|-1.79|-.19|.97|.97|-1.88|,negnegnegnegnegnegposposposneg,neg,neg,neg,neg,neg,neg,pos,pos,pos,neg,NA,NA,NA,NA,NA,NA,1.08,-.90,-.90,-1.79,-1.79,-1.79,-.19,.97,.97,-1.88,NA,NA,NA,NA,NA,NA
172,1,2,10,-1.91|-2.48|-2.48|-2.48|-1.58|-2.01|.07|2.57|1.10|-2.16|,negnegnegnegnegnegposposposneg,neg,neg,neg,neg,neg,neg,pos,pos,pos,neg,NA,NA,NA,NA,NA,NA,-1.91,-2.48,-2.48,-2.48,-1.58,-2.01,.07,2.57,1.10,-2.16,NA,NA,NA,NA,NA,NA
61,0,3,10,-2.35|-2.43|-2.52|-2.65|-2.81|-2.81|-2.81|-2.81|-2.74|-2.84|,negnegnegnegnegposnegposposneg,neg,neg,neg,neg,neg,pos,neg,pos,pos,neg,NA,NA,NA,NA,NA,NA,-2.35,-2.43,-2.52,-2.65,-2.81,-2.81,-2.81,-2.81,-2.74,-2.84,NA,NA,NA,NA,NA,NA
115,1,3,10,-2.06|-2.96|-2.96|-2.96|-3.00|-1.77|-2.26|-1.85|-1.37|-1.77|,negnegnegnegnegposnegposposneg,neg,neg,neg,neg,neg,pos,neg,pos,pos,neg,NA,NA,NA,NA,NA,NA,-2.06,-2.96,-2.96,-2.96,-3.00,-1.77,-2.26,-1.85,-1.37,-1.77,NA,NA,NA,NA,NA,NA
1,0,4,10,-3.00|-3.00|-2.00|-1.45|-1.88|2.08|-2.37|3.00|2.26|2.26|,negnegnegnegnegposnegpospospos,neg,neg,neg,neg,neg,pos,neg,pos,pos,pos,NA,NA,NA,NA,NA,NA,-3.00,-3.00,-2.00,-1.45,-1.88,2.08,-2.37,3.00,2.26,2.26,NA,NA,NA,NA,NA,NA
162,1,4,10,3.00|-1.00|.18|-3.00|-2.97|-.89|-3.00|-.03|2.85|2.85|,negnegnegnegnegposnegpospospos,neg,neg,neg,neg,neg,pos,neg,pos,pos,pos,NA,NA,NA,NA,NA,NA,3.00,-1.00,.18,-3.00,-2.97,-.89,-3.00,-.03,2.85,2.85,NA,NA,NA,NA,NA,NA
164,1,5,10,-3.00|-3.00|-3.00|-3.00|-3.00|-3.00|-3.00|-3.00|-2.50|-3.00|,negnegnegnegnegposneutnegposneg,neg,neg,neg,neg,neg,pos,neut,neg,pos,neg,NA,NA,NA,NA,NA,NA,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,-2.50,-3.00,NA,NA,NA,NA,NA,NA
174,1,5,10,-2.89|-2.89|-2.89|-2.89|-2.89|1.04|1.04|-1.06|2.33|2.07|,negnegnegnegnegposneutnegposneg,neg,neg,neg,neg,neg,pos,neut,neg,pos,neg,NA,NA,NA,NA,NA,NA,-2.89,-2.89,-2.89,-2.89,-2.89,1.04,1.04,-1.06,2.33,2.07,NA,NA,NA,NA,NA,NA
89,0,6,10,-1.50|-3.00|-3.00|-3.00|-3.00|3.00|3.00|-3.00|.00|.00|,negnegnegnegnegposposnegneutneut,neg,neg,neg,neg,neg,pos,pos,neg,neut,neut,NA,NA,NA,NA,NA,NA,-1.50,-3.00,-3.00,-3.00,-3.00,3.00,3.00,-3.00,.00,.00,NA,NA,NA,NA,NA,NA
90,0,6,10,-2.05|-3.00|-2.55|-3.00|-3.00|.00|.44|-1.03|-.03|.28|,negnegnegnegnegposposnegneutneut,neg,neg,neg,neg,neg,pos,pos,neg,neut,neut,NA,NA,NA,NA,NA,NA,-2.05,-3.00,-2.55,-3.00,-3.00,.00,.44,-1.03,-.03,.28,NA,NA,NA,NA,NA,NA
152,1,7,10,-.46|-.81|-1.39|-1.71|-1.95|-1.16|-.99|-1.23|-1.07|-.99|,negnegnegnegnegposposnegpospos,neg,neg,neg,neg,neg,pos,pos,neg,pos,pos,NA,NA,NA,NA,NA,NA,-.46,-.81,-1.39,-1.71,-1.95,-1.16,-.99,-1.23,-1.07,-.99,NA,NA,NA,NA,NA,NA
197,1,7,10,2.39|2.19|2.52|2.35|2.18|2.53|2.53|2.34|2.53|2.70|,negnegnegnegnegposposnegpospos,neg,neg,neg,neg,neg,pos,pos,neg,pos,pos,NA,NA,NA,NA,NA,NA,2.39,2.19,2.52,2.35,2.18,2.53,2.53,2.34,2.53,2.70,NA,NA,NA,NA,NA,NA
19,0,8,10,-.90|-.90|-1.79|-1.79|-1.79|-.19|.97|.97|-1.88|-.30|,negnegnegnegnegposposposnegpos,neg,neg,neg,neg,neg,pos,pos,pos,neg,pos,NA,NA,NA,NA,NA,NA,-.90,-.90,-1.79,-1.79,-1.79,-.19,.97,.97,-1.88,-.30,NA,NA,NA,NA,NA,NA
133,1,8,10,-1.60|-2.02|-2.02|-2.48|-2.92|-2.10|-1.67|-1.11|-1.58|-1.06|,negnegnegnegnegposposposnegpos,neg,neg,neg,neg,neg,pos,pos,pos,neg,pos,NA,NA,NA,NA,NA,NA,-1.60,-2.02,-2.02,-2.48,-2.92,-2.10,-1.67,-1.11,-1.58,-1.06,NA,NA,NA,NA,NA,NA
119,1,9,10,-.05|-.87|.03|-.95|-1.89|.52|.00|1.06|1.06|-.04|,negnegnegnegnegposposposposneut,neg,neg,neg,neg,neg,pos,pos,pos,pos,neut,NA,NA,NA,NA,NA,NA,-.05,-.87,.03,-.95,-1.89,.52,.00,1.06,1.06,-.04,NA,NA,NA,NA,NA,NA
